Country Name,2020 GDP per capita
Afghanistan,2087.636394
Albania,13817.75897
Algeria,11268.26447
American Samoa,..
Andorra,..
Angola,6538.452054
Antigua and Barbuda,18942.38807
Argentina,20767.6105
Armenia,13284.16083
Aruba,..
Australia,52518.32448
Austria,55097.46123
Azerbaijan,14451.9837
"Bahamas, The",32453.52957
Bahrain,43181.21063
Bangladesh,5082.68075
Barbados,13576.8018
Belarus,20199.69849
Belgium,51968.19202
Belize,6455.961753
Benin,3505.635164
Bermuda,..
Bhutan,11508.17418
Bolivia,8367.327159
Bosnia and Herzegovina,15611.79131
Botswana,16920.84667
Brazil,14836.3071
British Virgin Islands,..
Brunei Darussalam,65661.69393
Bulgaria,24367.32392
Burkina Faso,2279.156173
Burundi,771.2096188
Cabo Verde,6377.025832
Cambodia,4422.045743
Cameroon,3772.744986
Canada,48072.58376
Cayman Islands,..
Central African Republic,979.5830661
Chad,1603.378457
Channel Islands,..
Chile,25067.6916
China,17311.99792
Colombia,14565.36805
Comoros,3313.170467
"Congo, Dem. Rep.",1131.090607
"Congo, Rep.",3638.555775
Costa Rica,21031.81754
Cote d'Ivoire,5458.236651
Croatia,28503.88057
Cuba,..
Curacao,..
Cyprus,38458.19126
Czech Republic,41737.41804
Denmark,60398.45334
Djibouti,5782.110625
Dominica,10434.47294
Dominican Republic,17936.73468
Ecuador,10896.42743
"Egypt, Arab Rep.",12607.76211
El Salvador,8498.96872
Equatorial Guinea,17941.5997
Eritrea,..
Estonia,38394.91753
Eswatini,8853.604243
Ethiopia,2422.957789
Faroe Islands,..
Fiji,11601.40053
Finland,51089.78533
France,46226.95054
French Polynesia,..
Gabon,15190.63863
"Gambia, The",2278.027815
Georgia,14863.01737
Germany,53694.35471
Ghana,5596.307071
Gibraltar,..
Greece,28463.78868
Greenland,..
Grenada,15893.21538
Guam,..
Guatemala,8854.202464
Guinea,2817.491809
Guinea-Bissau,1948.91954
Guyana,19705.79267
Haiti,2925.365324
Honduras,5420.560196
"Hong Kong SAR, China",59237.67082
Hungary,33084.09623
Iceland,55216.02618
India,6454.347356
Indonesia,12073.46151
"Iran, Islamic Rep.",13116.07236
Iraq,9763.509991
Ireland,93612.16591
Isle of Man,..
Israel,41854.93415
Italy,41839.99102
Jamaica,9221.593305
Japan,..
Jordan,10355.63132
Kazakhstan,26728.54392
Kenya,4452.206024
Kiribati,2417.767466
"Korea, Dem. People's Rep.",..
"Korea, Rep.",43124.29469
Kosovo,11367.86528
Kuwait,..
Kyrgyz Republic,4965.031876
Lao PDR,8234.454537
Latvia,32019.22234
Lebanon,12288.75852
Lesotho,2405.096517
Liberia,1428.1893
Libya,10846.94382
Liechtenstein,..
Lithuania,38734.72932
Luxembourg,118359.5262
"Macao SAR, China",57807.16204
Madagascar,1593.071266
Malawi,1568.424781
Malaysia,27886.86089
Maldives,13765.63598
Mali,2338.507523
Malta,42640.1161
Marshall Islands,..
Mauritania,5256.874547
Mauritius,20538.69491
Mexico,18833.08242
"Micronesia, Fed. Sts.",..
Moldova,13001.55005
Monaco,..
Mongolia,12100.5867
Montenegro,20566.63841
Morocco,7296.158065
Mozambique,1296.575035
Myanmar,4793.556835
Namibia,9382.217537
Nauru,..
Nepal,4008.74658
Netherlands,59228.83495
New Caledonia,..
New Zealand,44251.79422
Nicaragua,5570.099875
Niger,1262.604176
Nigeria,5186.723484
North Macedonia,16926.62414
Northern Mariana Islands,..
Norway,63197.98147
Oman,..
Pakistan,4876.630554
Palau,..
Panama,26775.69445
Papua New Guinea,4326.437608
Paraguay,13012.8757
Peru,11879.2359
Philippines,8390.353144
Poland,34264.75976
Portugal,34495.92247
Puerto Rico,35279.34703
Qatar,89948.61058
Romania,31945.74966
Russian Federation,28213.44784
Rwanda,2213.96119
Samoa,..
San Marino,..
Sao Tome and Principe,4274.099012
Saudi Arabia,46762.46927
Senegal,3481.309922
Serbia,19230.63006
Seychelles,25699.72907
Sierra Leone,1738.556327
Singapore,98525.95435
Sint Maarten (Dutch part),..
Slovak Republic,31832.39461
Slovenia,39593.30744
Solomon Islands,2619.219007
Somalia,875.1695992
South Africa,12095.85629
South Sudan,..
Spain,38334.61134
Sri Lanka,13225.4088
St. Kitts and Nevis,24536.65184
St. Lucia,12943.82194
St. Martin (French part),..
St. Vincent and the Grenadines,12770.14924
Sudan,4243.781936
Suriname,17015.96028
Sweden,54563.12141
Switzerland,71352.3526
Syrian Arab Republic,..
Tajikistan,3858.429415
Tanzania,2780.055548
Thailand,18236.17611
Timor-Leste,3355.829562
Togo,2223.631491
Tonga,..
Trinidad and Tobago,25031.19216
Tunisia,10261.69084
Turkey,28119.45304
Turkmenistan,..
Turks and Caicos Islands,22281.92215
Tuvalu,4653.233664
Uganda,2297.178684
Ukraine,13056.70207
United Arab Emirates,..
United Kingdom,44916.22834
United States,63543.57779
Uruguay,22795.05875
Uzbekistan,7378.25472
Vanuatu,2914.510273
"Venezuela, RB",..
Vietnam,8650.653672
Virgin Islands (U.S.),..
West Bank and Gaza,5690.287517
"Yemen, Rep.",..
Zambia,3449.609322
Zimbabwe,2895.415645
Africa Eastern and Southern,3548.209824
Africa Western and Central,4222.992668
Arab World,14527.04509
Caribbean small states,15659.64595
Central Europe and the Baltics,33711.85908
Early-demographic dividend,9233.15646
East Asia & Pacific,18583.52751
East Asia & Pacific (excluding high income),15234.09879
East Asia & Pacific (IDA & IBRD countries),15393.82017
Euro area,46759.30285
Europe & Central Asia,35376.49768
Europe & Central Asia (excluding high income),22627.63796
Europe & Central Asia (IDA & IBRD countries),23634.72741
European Union,44491.29955
Fragile and conflict affected situations,4538.772501
Heavily indebted poor countries (HIPC),2659.96363
High income,50572.34508
IBRD only,13683.58292
IDA & IBRD total,11136.00087
IDA blend,4989.989298
IDA only,3455.286197
IDA total,3958.994814
Late-demographic dividend,18313.11594
Latin America & Caribbean,15868.41241
Latin America & Caribbean (excluding high income),15092.14541
Latin America & the Caribbean (IDA & IBRD countries),15805.05997
Least developed countries: UN classification,3118.959715
Low & middle income,10849.33184
Low income,2523.773255
Lower middle income,7092.005178
Middle East & North Africa,16405.48298
Middle East & North Africa (excluding high income),10729.97176
Middle East & North Africa (IDA & IBRD countries),10791.67493
Middle income,11815.91343
North America,61947.28117
Not classified,..
OECD members,44650.4295
Other small states,22321.27622
Pacific island small states,6375.989454
Post-demographic dividend,49162.01361
Pre-demographic dividend,3536.035082
Small states,20181.40408
South Asia,6099.244775
South Asia (IDA & IBRD),6099.244775
Sub-Saharan Africa,3821.247333
Sub-Saharan Africa (excluding high income),3819.352355
Sub-Saharan Africa (IDA & IBRD countries),3821.247333
Upper middle income,18065.13007
World,17109.45142
